	GENDER	DEPART	EDUC	AGE	HEIGHT	SENIOR	SALARY	INI_PROF	CUR_PROF
Ivanova   	Male	Package	HS	24	64	4	26500	106	115
James     	Female	Bake	HS	28	64	0	21700	112	113
Jennings  	Female	Bake	HS	37	60	0	20400	108	108
Jin       	Male	Ship	HS	26	69	1	23500	130	132
John      	Female	Package	HS	54	62	17	42400	108	141
Jones     	Male	Bake	HS	21	69	2	24900	117	120
Lee       	Male	Package	HS	28	65	1	23800	137	139
Lewis     	Female	Bake	College	34	64	2	21300	88	92
Li        	Male	Bake	HS	35	66	0	21500	114	114
Mann      	Male	Package	College	19	68	0	19700	98	98
Martin    	Female	Package	College	34	63	4	23700	100	107
McNichol  	Male	Ship	HS	21	70	2	23800	124	127
Miller    	Male	Package	College	25	67	0	18900	95	96
Mollari   	Male	Package	HS	24	67	0	22800	132	131
Moran     	Female	Bake	College	32	64	3	21900	95	101
Newton    	Male	Package	College	33	68	0	18100	84	84
O'Neil    	Female	Package	College	20	65	1	20300	104	106
Olejarski 	Male	Package	College	27	67	3	23200	96	102
Palmer    	Female	Bake	Grad	40	63	3	21500	76	83
Patterson 	Male	Ship	College	35	67	2	21300	88	92
Price     	Female	Package	College	29	63	4	23700	86	94
Ray       	Male	Ship	HS	29	70	10	33100	115	135
Ritter    	Male	Package	HS	20	67	1	23400	122	124
Rogers    	Female	Bake	HS	21	69	2	22600	105	108
Rowley    	Female	Ship	College	37	63	1	20600	96	98
Sager     	Female	Bake	HS	21	64	1	21900	90	92
Santiago  	Female	Ship	HS	28	67	0	20500	91	91
Shefelbine	Male	Package	Grad	34	69	0	16000	69	68
Sheridan  	Female	Bake	College	27	60	0	19200	91	90
Simmons   	Female	Ship	College	27	66	0	18300	87	87
Simon     	Male	Package	College	38	68	9	29800	96	113
Skadron   	Female	Bake	Grad	28	68	3	21200	83	89
Smith     	Female	Package	College	31	61	5	25300	94	104
Stern     	Male	Package	HS	41	67	9	31700	92	110
Stewart   	Male	Package	HS	25	67	5	26300	104	115
Stokes    	Female	Ship	HS	27	64	0	20200	108	110
Succurso  	Male	Bake	HS	34	65	2	22400	105	109
Sullivan  	Male	Ship	Grad	27	67	1	18400	75	77
Thermopyle	Male	Package	Grad	48	69	14	35100	66	94
Turner    	Female	Ship	College	28	68	0	18400	103	104
Verm      	Male	Bake	College	35	67	1	20000	85	86
Vestabule 	Male	Bake	HS	29	66	10	32700	110	130
Washington	Male	Package	College	39	72	8	29300	105	121
Waters    	Female	Package	HS	25	64	7	31200	115	129
Weston    	Female	Package	HS	21	64	3	25200	109	114
Whitney   	Female	Ship	HS	21	64	1	21600	107	109
Williams  	Female	Bake	College	33	65	4	24600	86	94
Winters   	Male	Bake	HS	27	67	9	31600	107	125
Wood      	Male	Bake	HS	42	73	5	26200	100	109
Yates     	Female	Bake	College	34	63	11	33200	95	118
